,kepid,koi_slogg,koi_steff,koi_srad,koi_kepmag,koi_duration,koi_depth,koi_prad
1223,5301750,4.3260000000000005,6036.0,1.131,14.764000000000001,3.128,159.1,1.6
1224,5301750,4.3260000000000005,6036.0,1.131,14.764000000000001,6.0,362.1,2.29
1225,5526717,4.251,5565.0,1.246,14.279000000000002,3.0089,558.3,2.92
1230,6034945,4.431,5962.0,1.028,14.63,4.558,268.3,1.78
1232,8692861,4.399,5637.0,0.943,13.749,5.1231,571.1,2.23
1236,4741126,4.274,6119.0,1.299,13.47,3.957,71.7,1.12
1237,11669125,4.5360000000000005,5811.0,0.866,13.046,6.632,357.7,1.63
1238,12159249,4.269,5876.0,1.293,12.71,2.9191,73.3,1.1
1250,6198999,4.533,4841.0,0.779,15.32,2.1763,455.5,1.65
1251,6310636,4.069,5843.0,1.615,14.542,2.6077,101.5,1.62
1252,6616218,4.534,5418.0,0.886,12.557,2.8617,828.3,2.85
1253,7761545,4.478,5584.0,0.938,15.061,6.7504,4674.7,6.31
1255,12365184,4.107,6430.0,1.731,13.005,3.7177,4491.2,11.65
1259,10748390,4.591,4778.0,0.763,9.174,2.36255,4315.8,4.82
1260,11804465,4.175,5953.0,1.415,13.437999999999999,4.69813,16388.0,18.05
1261,9663113,4.263999999999999,6226.0,1.299,13.955,10.3939,1023.3,4.24
1265,5289854,4.516,5896.0,0.914,15.809000000000001,2.75,515.2,2.08
1266,5289854,4.516,5896.0,0.914,15.809000000000001,3.815,550.5,2.14
1268,10006581,4.265,5509.0,1.169,14.904000000000002,5.2096,732.0,3.11
1270,6616218,4.534,5418.0,0.886,12.557,2.184,84.2,0.84
1272,7220429,4.511,5044.0,0.804,14.470999999999998,2.9118,286.5,1.54
1275,8692861,4.399,5637.0,0.943,13.749,12.808,340.3,1.73
1277,12403119,4.494,5591.0,0.892,12.45,7.9393,2949.5,4.78
1284,10027323,4.762,3883.0,0.496,15.157,2.6302,406.5,0.99
1285,12019440,4.438,5823.0,1.013,14.952,3.0331799999999998,16451.0,12.91
1287,10004738,4.57,5497.0,0.839,14.279000000000002,5.961,1091.8,3.22
1288,10004738,4.57,5497.0,0.839,14.279000000000002,7.474,658.8,2.64
1289,7304449,4.978,3364.0,0.274,15.722000000000001,1.2635,841.0,1.0
1292,7626370,4.4719999999999995,5238.0,0.851,14.130999999999998,1.9046,278.7,1.77
1293,7703955,4.375,5792.0,1.005,15.321,9.877,982.3,4.01
1294,7512982,4.515,4883.0,0.808,15.887,3.7922,1597.1,3.16
1296,9597806,4.479,5869.0,0.954,15.455,2.595,894.6,2.84
1302,9663113,4.263999999999999,6226.0,1.299,13.955,24.42,1743.4,5.8
1305,10004738,4.57,5497.0,0.839,14.279000000000002,2.312,186.5,1.4
1308,5438757,4.338,5534.0,1.08,14.659,6.253,273.1,1.97
1309,5438757,4.338,5534.0,1.08,14.659,11.64,417.8,2.75
1311,5972334,4.484,5422.0,0.887,14.991,5.607,566.5,2.07
1312,7815744,4.647,5350.0,0.678,15.469000000000001,3.898,800.6,1.9
1313,7955580,4.53,4998.0,0.808,15.061,3.778,765.1,2.19
1314,8230616,4.689,4198.0,0.574,15.224,2.3726,545.8,1.34
1316,7898352,4.281000000000001,5733.0,1.183,15.505,7.1545,8088.6,12.04
1317,11402995,4.297,5705.0,1.14,13.844000000000001,4.5718,460.2,2.58
1318,7898352,4.281000000000001,5733.0,1.183,15.505,5.879,974.9,3.65
1321,7951018,4.413,6228.0,1.137,15.182,6.6517,5805.8,8.76
1325,7747425,4.327,5616.0,1.111,14.600999999999999,7.253,334.0,2.03
1326,9892816,4.26,6297.0,1.369,13.147,4.3311,224.8,2.47
1327,9892816,4.26,6297.0,1.369,13.147,9.557,244.8,2.8
1328,9836149,4.484,5964.0,0.933,15.2,3.6765,776.8,3.12
1329,11512246,4.091,5761.0,1.518,13.437999999999999,6.0765,206.7,2.17
1330,4813563,4.54,4847.0,0.781,14.254000000000001,3.6577,861.3,2.55
1331,2985767,4.0969999999999995,5821.0,1.547,12.261,1.375,169.5,2.08
1332,2304320,4.572,5064.0,0.769,13.755,2.5996,370.0,1.57
1333,3657758,4.545,5668.0,0.868,15.54,1.7752,1375.1,3.26
1334,9790806,4.552,5461.0,0.858,13.007,1.614,504.9,2.25
1335,6382217,4.718,3757.0,0.539,15.773,2.4553,755.6,1.8
1336,5375194,4.5569999999999995,5338.0,0.816,13.895,3.987,690.6,2.11
1337,6468138,4.276,5818.0,1.2,13.35,9.0636,832.1,3.43
1338,10019708,4.046,5927.0,1.691,14.879000000000001,3.4518800000000005,10091.0,16.91
1339,11875734,4.363,5620.0,0.974,14.422,6.804,1287.0,3.94
1341,7046804,4.564,5215.0,0.77,14.517999999999999,3.0039,9763.3,7.94
1342,7449136,4.133,6180.0,1.603,11.704,4.1445,108.5,1.75
1343,8680979,4.516,4891.0,0.805,15.261,3.9851,762.6,2.18
1344,8680979,4.516,4891.0,0.805,15.261,2.928,298.4,1.35
1346,6949061,4.185,5808.0,1.374,14.128,4.4073,234.3,2.17
1347,7269493,4.578,5435.0,0.824,12.852,1.8707,120.5,0.91
1351,11657891,4.56,5662.0,0.84,14.325,1.6239,228.4,1.27
1352,6305192,4.196000000000001,6002.0,1.369,14.152999999999999,5.3694,3120.4,7.79
1353,6382217,4.718,3757.0,0.539,15.773,2.272,334.3,1.05
1356,8950568,4.495,5435.0,0.873,14.779000000000002,3.751,365.6,1.69
1357,3326377,4.548,5180.0,0.8,14.443,3.2861,812.0,2.22
1358,11601584,4.53,5191.0,0.826,14.122,6.343,1025.4,2.6
1359,11601584,4.53,5191.0,0.826,14.122,2.5126,198.5,1.15
1362,8689793,4.565,6068.0,0.831,14.052999999999999,2.1004,232.9,1.29
1363,11673802,3.4330000000000003,4994.0,3.818,13.427,8.5274,343.9,7.1
1364,4263293,4.73,4347.0,0.524,15.862,2.2906,1320.3,1.87
1365,4263293,4.73,4347.0,0.524,15.862,2.829,1562.8,2.04
1366,4263293,4.73,4347.0,0.524,15.862,2.691,1262.0,1.84
1368,6205897,4.645,4766.0,0.664,14.31,2.323,279.2,1.57
1371,9650808,4.447,5774.0,0.958,15.378,2.7509,693.4,2.57
1372,9650808,4.447,5774.0,0.958,15.378,7.105,925.7,2.89
1373,8950568,4.495,5435.0,0.873,14.779000000000002,4.301,430.8,1.88
1374,8950568,4.495,5435.0,0.873,14.779000000000002,4.364,197.8,1.39
1375,8950568,4.495,5435.0,0.873,14.779000000000002,5.76,174.1,1.19
1376,4725681,4.728,3747.0,0.524,15.414000000000001,1.3421,824.3,1.82
1379,11709244,4.458,5445.0,0.937,15.009,1.8141,879.3,3.0
1380,11709244,4.458,5445.0,0.937,15.009,2.0688,653.8,3.18
1381,11709244,4.458,5445.0,0.937,15.009,3.441,694.8,2.62
1383,11853878,4.6819999999999995,4402.0,0.572,14.265,1.7744,763.3,1.74
1384,5728139,4.016,6332.0,1.905,14.463,6.2226,4676.5,13.08
1385,7668663,4.328,5727.0,1.104,13.25,2.4384,190.9,1.87
1386,7047922,4.327,6327.0,1.175,14.562999999999999,3.9097,392.5,2.81
1387,9353314,4.68,4325.0,0.56,14.744000000000002,2.1397,430.1,1.15
1389,9347009,4.604,5026.0,0.763,15.719000000000001,3.794,935.5,2.26
1391,4917596,4.654,4484.0,0.594,15.753,1.5151,645.3,1.49
1393,11046458,4.499,5461.0,0.937,14.255999999999998,1.4049,5976.5,9.06
1395,7132798,4.565,5598.0,0.83,14.235999999999999,2.5613,1871.8,3.55
1397,9656252,4.465,5786.0,0.99,15.818,4.1864,1125.3,3.4
1398,6026438,4.5889999999999995,4650.0,0.706,15.549000000000001,2.5482,648.0,2.01
1399,9471268,4.558,5103.0,0.789,13.693,2.097,308.3,1.38
1400,9471268,4.558,5103.0,0.789,13.693,2.0361,263.2,1.25
1401,9471268,4.558,5103.0,0.789,13.693,1.7062,249.3,1.31
1402,10657406,4.573,5201.0,0.834,13.732999999999999,4.7679,635.0,2.37
1403,5526527,4.618,4334.0,0.653,14.786,2.151,1147.0,2.73
1406,10328393,4.61,4955.0,0.721,14.017000000000001,2.4168,296.1,1.21
1408,7094486,4.734,3597.0,0.514,15.277999999999999,2.2792,1221.0,1.75
1410,8543100,4.503,5895.0,0.94,15.985999999999999,3.8573,659.8,2.4
1411,2693736,4.468999999999999,5094.0,0.87,15.09,3.3091,788.4,2.37
1412,9412760,4.656000000000001,4500.0,0.646,14.027999999999999,1.6165,384.6,1.69
1413,9412760,4.656000000000001,4500.0,0.646,14.027999999999999,1.973,150.4,0.79
1414,6026438,4.5889999999999995,4650.0,0.706,15.549000000000001,4.046,458.0,1.5
1415,10663396,3.9139999999999997,5511.0,1.93,13.152999999999999,15.955,293.4,3.26
1416,11457726,4.417,6277.0,1.097,13.977,3.4117,165.0,1.59
1417,8956206,4.551,5149.0,0.791,15.800999999999998,2.1094,750.5,2.12
1418,9649706,4.172,5821.0,1.395,13.93,2.7803,147.2,1.68
1419,5856571,3.904,5476.0,1.673,13.237,3.452,544.6,3.93
1420,7765528,4.2780000000000005,5846.0,1.24,14.915,3.514,836.7,4.67
